%%% Bode Mag Phase 
frequency speed  m1 p1
2.681812609453e-01 0.000000000000e+00 -3.975503137977e+01 -1.986535688454e+00 
2.694203713682e-01 0.000000000000e+00 -3.975273124146e+01 -1.996246802048e+00 
2.706652070033e-01 0.000000000000e+00 -3.975040920811e+01 -2.006010485457e+00 
2.719157943036e-01 0.000000000000e+00 -3.974806506563e+01 -2.015827095690e+00 
2.731721598441e-01 0.000000000000e+00 -3.974569859774e+01 -2.025696993162e+00 
2.744343303228e-01 0.000000000000e+00 -3.974330958594e+01 -2.035620541739e+00 
2.757023325610e-01 0.000000000000e+00 -3.974089780945e+01 -2.045598108785e+00 
2.769761935037e-01 0.000000000000e+00 -3.973846304525e+01 -2.055630065203e+00 
2.782559402207e-01 0.000000000000e+00 -3.973600506800e+01 -2.065716785488e+00 
2.795415999068e-01 0.000000000000e+00 -3.973352365002e+01 -2.075858647769e+00 
2.808331998823e-01 0.000000000000e+00 -3.973101856131e+01 -2.086056033861e+00 
2.821307675939e-01 0.000000000000e+00 -3.972848956945e+01 -2.096309329311e+00 
2.834343306151e-01 0.000000000000e+00 -3.972593643964e+01 -2.106618923447e+00 
2.847439166467e-01 0.000000000000e+00 -3.972335893463e+01 -2.116985209434e+00 
2.860595535176e-01 0.000000000000e+00 -3.972075681472e+01 -2.127408584319e+00 
2.873812691851e-01 0.000000000000e+00 -3.971812983769e+01 -2.137889449085e+00 
2.887090917359e-01 0.000000000000e+00 -3.971547775885e+01 -2.148428208706e+00 
2.900430493864e-01 0.000000000000e+00 -3.971280033091e+01 -2.159025272200e+00 
2.913831704833e-01 0.000000000000e+00 -3.971009730403e+01 -2.169681052682e+00 
2.927294835043e-01 0.000000000000e+00 -3.970736842576e+01 -2.180395967420e+00 
2.940820170587e-01 0.000000000000e+00 -3.970461344101e+01 -2.191170437896e+00 
2.954407998880e-01 0.000000000000e+00 -3.970183209203e+01 -2.202004889856e+00 
2.968058608666e-01 0.000000000000e+00 -3.969902411835e+01 -2.212899753375e+00 
2.981772290020e-01 0.000000000000e+00 -3.969618925679e+01 -2.223855462913e+00 
2.995549334360e-01 0.000000000000e+00 -3.969332724140e+01 -2.234872457377e+00 
3.009390034450e-01 0.000000000000e+00 -3.969043780345e+01 -2.245951180180e+00 
3.023294684406e-01 0.000000000000e+00 -3.968752067137e+01 -2.257092079308e+00 
3.037263579703e-01 0.000000000000e+00 -3.968457557074e+01 -2.268295607380e+00 
3.051297017183e-01 0.000000000000e+00 -3.968160222423e+01 -2.279562221711e+00 
3.065395295057e-01 0.000000000000e+00 -3.967860035161e+01 -2.290892384385e+00 
3.079558712914e-01 0.000000000000e+00 -3.967556966968e+01 -2.302286562313e+00 
3.093787571730e-01 0.000000000000e+00 -3.967250989224e+01 -2.313745227307e+00 
3.108082173869e-01 0.000000000000e+00 -3.966942073007e+01 -2.325268856146e+00 
3.122442823093e-01 0.000000000000e+00 -3.966630189087e+01 -2.336857930650e+00 
3.136869824567e-01 0.000000000000e+00 -3.966315307924e+01 -2.348512937747e+00 
3.151363484866e-01 0.000000000000e+00 -3.965997399667e+01 -2.360234369548e+00 
3.165924111984e-01 0.000000000000e+00 -3.965676434143e+01 -2.372022723422e+00 
3.180552015333e-01 0.000000000000e+00 -3.965352380862e+01 -2.383878502069e+00 
3.195247505759e-01 0.000000000000e+00 -3.965025209005e+01 -2.395802213598e+00 
